img_name,target
ISIC_0014712,Benign
ISIC_0061098,Benign
ISIC_0061536,Benign
ISIC_0013031,Benign
ISIC_0012527,Benign
ISIC_0063408,Benign
ISIC_0030286,Benign
ISIC_0064719,Benign
ISIC_0029611,Benign
ISIC_0026345,Benign
ISIC_0068256,Benign
ISIC_0055868,Benign
ISIC_0012257,Benign
ISIC_0057446,Benign
ISIC_0057295,Benign
ISIC_0065732,Benign
ISIC_0000517,Malignant
ISIC_0059257,Benign
ISIC_0009966,Benign
ISIC_0012109,Benign
ISIC_0027045,Benign
ISIC_0012813,Benign
ISIC_0028157,Benign
ISIC_0030152,Benign
ISIC_0032698,Malignant
ISIC_0064604,Benign
ISIC_0009899,Benign
ISIC_0027463,Benign
ISIC_0001262,Benign
ISIC_0015184,Benign
ISIC_0032881,Benign
ISIC_0024547,Benign
ISIC_0031891,Benign
ISIC_0066579,Benign
ISIC_0029148,Benign
ISIC_0013035,Benign
ISIC_0015140,Benign
ISIC_0025124,Benign
ISIC_0024732,Malignant
ISIC_0033255,Benign
ISIC_0026312,Benign
ISIC_0066731,Benign
ISIC_0010064,Benign
ISIC_0027436,Malignant
ISIC_0028644,Malignant
ISIC_0025741,Benign
ISIC_0059437,Benign
ISIC_0012281,Benign
ISIC_0067645,Benign
ISIC_0062687,Benign
ISIC_0030137,Benign
ISIC_0028133,Benign
ISIC_0027030,Malignant
ISIC_0010262,Benign
ISIC_0012988,Malignant
ISIC_0033529,Benign
ISIC_0031469,Benign
ISIC_0065105,Benign
ISIC_0032395,Benign
ISIC_0068248,Benign
ISIC_0054655,Benign
ISIC_0027760,Benign
ISIC_0032414,Malignant
ISIC_0031730,Benign
ISIC_0055166,Benign
ISIC_0029624,Benign
ISIC_0033561,Benign
ISIC_0057183,Benign
ISIC_0009898,Malignant
ISIC_0055294,Benign
ISIC_0030091,Benign
ISIC_0069495,Benign
ISIC_0027649,Benign
ISIC_0025268,Malignant
ISIC_0012666,Benign
ISIC_0030816,Benign
ISIC_0015593,Benign
