weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
0.001,64,0.001,0.8,AdamW,0.9105882352941177,0.45666666666666667,0.6782178217821783,0.545816733067729,0.9062251851851852,0.2250384630058326
0.0,64,0.01,0.8,SGD,0.8984313725490196,0.47,0.5850622406639004,0.5212569316081331,0.8912192592592593,0.24712925818620943
0.0,32,0.1,0.95,AdamW,0.8835294117647059,0.43666666666666665,0.5057915057915058,0.46869409660107336,0.889037037037037,0.2626554444256951
0.0001,64,0.1,0.8,RMSprop,0.7129411764705882,0.8366666666666667,0.26873661670235544,0.406807131280389,0.8166962962962963,9.640412145876416
0.0,32,0.001,0.8,Adam,0.9101960784313725,0.5033333333333333,0.6536796536796536,0.568738229755179,0.9203614814814814,0.21556253865653394
0.0,32,0.001,0.8,SGD,0.8909803921568628,0.41,0.5491071428571429,0.46946564885496184,0.8635985185185185,0.26493782800786636
0.0001,32,0.01,0.8,AdamW,0.8913725490196078,0.42333333333333334,0.5497835497835498,0.4783427495291902,0.8908577777777777,0.2501972339667526
0.001,32,0.01,0.95,AdamW,0.8737254901960785,0.6,0.4712041884816754,0.5278592375366569,0.8940666666666667,0.27510889824698953
0.001,64,0.1,0.95,RMSprop,0.24901960784313726,0.97,0.13245334547109694,0.23307969563476172,0.564637037037037,586.6561284562653
0.001,64,0.1,0.95,Adam,0.883921568627451,0.29333333333333333,0.5116279069767442,0.3728813559322034,0.8650474074074075,0.27250043027541215
