weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
1e-05,64,0.1,0.95,AdamW,0.9121212121212121,0.08,0.631578947368421,0.14201183431952663,0.8707066666666666,0.2204121752580007
0.0,32,0.001,0.95,AdamW,0.9139393939393939,0.4666666666666667,0.5303030303030303,0.49645390070921985,0.887871111111111,0.31225518556255283
0.0,64,0.1,0.95,SGD,0.889090909090909,0.6266666666666667,0.4253393665158371,0.5067385444743935,0.8961955555555555,0.4109767434091279
0.0001,128,0.001,0.8,AdamW,0.8981818181818182,0.5466666666666666,0.45054945054945056,0.4939759036144578,0.8924044444444444,0.2432873873277144
1e-05,128,0.1,0.9,RMSprop,0.8745454545454545,0.04666666666666667,0.09859154929577464,0.06334841628959276,0.5016822222222221,28887.772178030304
1e-05,128,0.1,0.95,AdamW,0.9054545454545454,0.02,0.25,0.037037037037037035,0.49214444444444444,0.817952912756891
0.001,128,0.1,0.9,AdamW,0.9054545454545454,0.02,0.25,0.037037037037037035,0.49214444444444444,0.817952912756891
0.0001,64,0.001,0.95,RMSprop,0.9054545454545454,0.02,0.25,0.037037037037037035,0.49214444444444444,0.8179570592172218
0.0001,128,0.1,0.95,RMSprop,0.536969696969697,0.9866666666666667,0.16263736263736264,0.2792452830188679,0.73932,3681.81785452178
0.0,64,0.01,0.95,AdamW,0.8824242424242424,0.44,0.375,0.4049079754601227,0.8620755555555556,0.29050705169186447
