weight_decay,batch_size,lr,momentum,optimizer,accuracy,recall,precision,f1,roc_auc,val_loss
0.0001,64,0.001,0.95,RMSprop,0.8807843137254902,0.4533333333333333,0.4927536231884058,0.4722222222222222,0.8830340740740741,0.26090032904755833
1e-05,32,0.001,0.95,Adam,0.8921568627450981,0.6033333333333334,0.5370919881305638,0.5682888540031397,0.9128207407407406,0.2487862806226693
0.001,64,0.01,0.95,RMSprop,0.8921568627450981,0.6033333333333334,0.5370919881305638,0.5682888540031397,0.912834074074074,0.24876856185641943
0.0001,32,0.1,0.95,SGD,0.8819607843137255,0.02,0.46153846153846156,0.038338658146964855,0.8393881481481481,0.2810198606229296
0.001,32,0.001,0.95,RMSprop,0.8823529411764706,0.19333333333333333,0.5,0.27884615384615385,0.8600399999999998,0.2741351274883046
0.0,64,0.0001,0.95,AdamW,0.8988235294117647,0.49666666666666665,0.58203125,0.5359712230215827,0.9054829629629629,0.23314466544226103
0.001,64,0.01,0.8,Adam,0.8858823529411765,0.47,0.5164835164835165,0.49214659685863876,0.8947051851851854,0.24866038341148228
1e-05,32,0.001,0.9,Adam,0.9011764705882352,0.53,0.5888888888888889,0.5578947368421052,0.9090370370370371,0.23017514296606476
1e-05,32,0.001,0.8,SGD,0.8694117647058823,0.39666666666666667,0.43911439114391143,0.4168126094570928,0.8233362962962965,0.309688411693947
0.0,32,0.1,0.9,AdamW,0.8815686274509804,0.016666666666666666,0.4166666666666667,0.03205128205128205,0.8404666666666667,0.3985090322588004
