iteration,fid_score,latent_dim,n_layers,dropout,n_critic,batch_size,classifier_precision,classifier_recall,classifier_accuracy,classifier_f1
1,721.9448815230329,128,4,0.1,1,32,1.0,0.326,0.326,0.4917043740573152
2,661.476518181981,128,4,0.1,1,64,1.0,0.38,0.38,0.5507246376811594
3,523.7427173821843,100,4,0.3,2,32,1.0,0.392,0.392,0.5632183908045977
4,1574.9268126399502,128,3,0.5,2,32,1.0,0.238,0.238,0.38449111470113084
5,2614.257830415035,100,2,0.5,2,64,0.0,0.0,0.0,0.0
6,1167.601996074662,128,2,0.1,2,64,1.0,0.322,0.322,0.48714069591527986
7,2160.0784841181394,256,2,0.5,1,64,0.0,0.0,0.0,0.0
8,1874.8874140076675,100,2,0.1,1,64,1.0,0.88,0.88,0.9361702127659575
9,983.5901254243413,128,4,0.5,2,32,1.0,0.554,0.554,0.712998712998713
10,1982.3609721874218,128,2,0.5,1,64,0.0,0.0,0.0,0.0
