iteration,fid_score,latent_dim,n_layers,dropout,n_critic,batch_size,classifier_precision,classifier_recall,classifier_accuracy,classifier_f1
1,1105.770524755233,100,3,0.1,1,64,1.0,0.004,0.004,0.00796812749003984
2,1299.4114502136458,256,2,0.1,2,32,1.0,0.92,0.92,0.9583333333333334
3,1270.8531850534964,128,2,0.1,2,32,1.0,0.664,0.664,0.7980769230769231
4,1387.0223606323798,100,2,0.1,2,32,1.0,0.618,0.618,0.7639060568603214
5,1759.2094987583434,128,2,0.3,1,32,1.0,0.036,0.036,0.0694980694980695
6,1261.3336651220684,256,3,0.3,2,32,1.0,0.992,0.992,0.9959839357429718
7,1567.8297620263916,256,2,0.1,1,32,1.0,0.22,0.22,0.36065573770491804
8,1453.1520923126589,100,3,0.3,1,64,0.0,0.0,0.0,0.0
9,1415.860758710095,128,3,0.1,2,64,1.0,0.05,0.05,0.09523809523809523
10,1367.375943880689,128,3,0.3,2,32,1.0,0.916,0.916,0.9561586638830898
